"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CDH3",1514.50898542212,7.18870984257072,0.400966820785768,5.26684685607985e-76,8.84250918667247e-72
"GYLTL1B",1236.55480891209,5.67499733271845,0.366847472094533,1.20185340524964e-56,1.00889584103681e-52
"C2CD4A",543.941121176391,5.38857278525998,0.364640904395495,3.29340694223102e-51,1.84310030510389e-47
"RP11-474D1.3",428.358064305799,9.31223605762971,0.644642274816605,7.6407269928871e-50,3.20700413708954e-46
"MMP7",1078.70166083234,8.55333250058072,0.599579807327733,2.12831333004455e-49,7.14645049962358e-46
"CST1",982.810903401915,9.9740904942524,0.797160553217461,1.26732537907776e-44,3.54618763155608e-41
"TRIM29",2029.22020002766,5.07238859154674,0.383115638252845,6.54609751481416e-43,1.57003473108879e-39
"GRIN2D",908.347259942094,5.25392550124751,0.408048846995277,2.60409752282159e-41,5.46502416383147e-38
"KLK10",737.470876087277,4.31138297735674,0.328690925144628,1.01223476346862e-40,1.88826771598607e-37
"KRT80",682.28243374002,6.27681999630674,0.522522167978296,2.72775562612167e-39,4.57962892069568e-36
"COMP",581.75986725582,7.04746946946227,0.584629748044036,5.85868838267087e-39,8.94195629606011e-36
"MMP11",3691.59178959061,5.06804628642218,0.410522822990387,1.33865058219586e-38,1.87288371870719e-35
"FOXQ1",1984.19606863464,7.03700234835927,0.626288304515617,6.86032893006318e-38,8.8598509543716e-35
"TG",174.693048794006,5.24477612233613,0.419079573030102,2.22956151175576e-37,2.67372201577624e-34
"INHBA",511.398857030757,5.25623920109358,0.435766562160043,9.08521555417591e-37,1.01687789292706e-33
"CPNE7",524.055417136037,5.13143869875452,0.443176255182529,3.56449951874799e-34,3.74027390126625e-31
"CEMIP",2198.3047669807,5.25440082364449,0.466555523425442,4.32104817378003e-34,4.26741634056429e-31
"ETV4",2048.24760488404,5.3065293492213,0.484101735408643,5.54119091206849e-33,5.1683919012621e-30
"COL11A1",731.063468039957,5.66371684569532,0.518559651717775,2.84479561082396e-32,2.49979330753121e-29
"TRIB3",2446.83692215385,4.6606202446151,0.417662965526399,2.97789422542285e-32,2.49979330753121e-29
"CLDN1",2217.19829559663,5.64472888419877,0.531755101251959,3.75422570152686e-32,3.0014140620445e-29
"WNT2",200.409369388951,5.84713309798711,0.536277613863638,6.46539831299111e-32,4.93398055803672e-29
"MMP3",520.358252791212,5.79246957471718,0.552014879491798,2.03551632790082e-31,1.48583841865769e-28
"COL10A1",498.200806108676,6.75093638083612,0.646502270959868,5.58517646218545e-31,3.90706365098465e-28
"SYNPO2",11203.9137172034,-4.73434884351916,0.4376703828513,6.06836540986996e-31,4.07527147465227e-28
"ANPEP",86140.3881076329,-4.99684011598803,0.46948983790456,6.87985853960484e-31,4.44253634697791e-28
"TGFBI",27398.6321815539,3.76882209013888,0.349871204147632,6.24393880881026e-29,3.88257365411539e-26
"ATG9B",165.549271436651,4.23184945476245,0.397134067626591,3.4584532515635e-28,2.07371327287499e-25
"MYOCD",931.98644524755,-4.22320851198337,0.4110339129278,7.69027785134158e-27,4.45214051193703e-24
"ABCG2",2736.30692721841,-6.43061788036869,0.714451018170016,9.04393012127128e-27,5.06128476020078e-24
"VWA2",435.161301581459,4.29872578855978,0.427227700117002,1.03619696117151e-26,5.61184218745436e-24
"MYH11",123822.350947564,-5.24468957118298,0.569125705924068,1.88102841326895e-26,9.86893313449139e-24
"POU5F1B",141.553377703561,4.99195575634369,0.500883622175898,3.05153963403045e-26,1.55249390653749e-23
"ASCL2",4261.17593060813,4.33630478744741,0.448824340110865,1.45763601092648e-25,7.19772087866021e-23
"KLK6",163.536866720007,8.61536830440524,0.970276653899381,2.23636863758199e-25,1.07275408732469e-22
"PDK4",2974.11522806964,-3.93206779395811,0.401199978038443,3.22999621266467e-25,1.50634462262298e-22
"TDGF1",609.036748047144,3.72440988322181,0.384528434415706,2.36428585394043e-24,1.07281068112989e-21
"CST2",142.161534544956,9.01132354615499,1.11681883678885,4.74360806972052e-24,2.09580094427731e-21
"SPTBN2",784.826206367567,3.14876943313081,0.320807392085023,5.38754147219425e-24,2.31926753273511e-21
"VIP",1018.56771295426,-3.79549866245311,0.39986893520631,1.20612805749184e-23,4.98972275016773e-21
"MMP1",1022.61286314623,4.76798093294346,0.537735903849346,1.21852780247112e-23,4.98972275016773e-21
"DDN",77.1743806776848,4.8972409696022,0.518231680416718,1.98966247281879e-23,7.95343887051302e-21
"GREM2",940.507577301448,-4.9447638480055,0.557817960656212,2.45790116774905e-23,9.5966750477532e-21
"LDB3",465.514906339887,-5.37812810975819,0.609824837057524,6.51179615776384e-23,2.48469422028857e-20
"CHI3L1",657.593982864291,5.34822153470659,0.642447131518,6.73168008176792e-23,2.51151504206226e-20
"TNS4",3128.72431270173,4.2079973816619,0.466873404450772,8.92120959352798e-23,3.25604756229872e-20
"CCAT1",145.775558625511,4.42656918702526,0.479441203721319,1.10445380911914e-22,3.94525000027685e-20
"GCNT2",443.812490749829,-4.50064456449568,0.499742593222824,2.03534251818568e-22,7.11903448704569e-20
"ABI3BP",1142.93763487123,-3.75435347012285,0.414609256275511,1.00831171924656e-21,3.45480519478173e-19
"BEST4",1425.56837996551,-4.72390563194775,0.565372198760576,1.23510042379086e-21,4.09892698636336e-19
"CLEC3B",940.454284770198,-3.92051052228195,0.441537913207904,1.24513238611312e-21,4.09892698636336e-19
"ADAMTS12",469.024970703602,3.51733347698646,0.387940144853756,1.27133993092634e-21,4.10471655775429e-19
"C1orf95",441.601341521985,-4.35867752308197,0.493990690017863,1.8161365658614e-21,5.75304090646171e-19
"RHPN1",664.305386052528,3.85208242442467,0.43889901384844,3.35217557982939e-21,1.04221621869918e-18
"PLN",1307.57475152249,-4.38580044979674,0.496835911571849,3.64168338742815e-21,1.11164040711875e-18
"ELFN1-AS1",255.495505688602,5.12008210563668,0.602081013800938,3.96826176268929e-21,1.18969904881769e-18
"LMO3",468.354864887642,-4.49303536257059,0.513845259567244,4.33207011059773e-21,1.27598465064606e-18
"KIAA1257",119.848824174928,3.86428562293415,0.429134951021817,4.524434599914e-21,1.3096678016889e-18
"ADAM12",386.346531097435,4.28511420225022,0.503855191700685,7.27448411089743e-21,2.07002226674334e-18
"SPIB",774.768375328348,-5.35466524703328,0.690345880823734,9.03372329655791e-21,2.52778634043185e-18
"HAGHL",278.841442568203,3.86912760831294,0.440615173811125,9.32524060022023e-21,2.56658138421471e-18
"KRT23",856.024798531783,6.20580164043286,0.840214960926381,1.03946613028607e-20,2.8147736873182e-18
"SDPR",1006.41736195507,-3.32840036367794,0.375979571885788,1.57218885321249e-20,4.17559968140259e-18
"NOTUM",1733.96673892185,6.45706321528061,0.829979203360084,1.59174685573748e-20,4.17559968140259e-18
"ESM1",69.6477878698523,4.73760987154209,0.547799207212957,2.17287834681834e-20,5.61237762534356e-18
"SYNM",10753.588066301,-4.97619771898577,0.654712076056581,3.85857862120279e-20,9.8154055259657e-18
"C6orf223",707.411371542055,5.81244865664298,0.807637313077223,4.44580098640601e-20,1.11403810090702e-17
"STRA6",104.424191425021,5.03855628131927,0.621516947623059,4.56875123037137e-20,1.12801124127507e-17
"ANK2",814.477709635503,-3.45671396080994,0.399533038106769,4.67630181188082e-20,1.13783233506764e-17
"PRSS22",247.460679555021,4.80021973054823,0.603626340559879,4.7977177326364e-20,1.15069832876046e-17
"KRT6B",71.2195373391107,5.86151333212409,0.68928722331566,7.82535907958083e-20,1.8504218815082e-17
"NBEA",274.885567983586,-4.10846305108377,0.473813393889989,1.19809825738193e-19,2.7937321726646e-17
"AGPAT9",816.203887643598,-3.04234737953615,0.351127301512955,1.60041125941171e-19,3.68072666222782e-17
"RNF150",612.905153859954,-3.65882457366491,0.42906851930667,2.04121801627596e-19,4.6310823344942e-17
"CXCL1",1245.44631919392,3.25864532982873,0.382832942442839,2.16333296360002e-19,4.84269295011743e-17
"CTHRC1",558.429886655378,3.88618670785545,0.475050109937572,2.54793289069567e-19,5.56428667711678e-17
"PGM5",2375.40862773215,-4.16154367743034,0.521082050134463,2.55196899242356e-19,5.56428667711678e-17
"FHL1",5332.14857857164,-3.29549864929381,0.391148549684195,3.24432111750917e-19,6.98319323613609e-17
"C7",2851.93756422349,-4.61317167058807,0.609023900592697,3.97640033530892e-19,8.45060572525334e-17
