"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RP11-474D1.3",428.358064305799,9.17813383353444,0.593908141779035,1.36492982299638e-54,2.26237118161651e-50
"CDH3",1514.50898542212,7.24048587547479,0.530773235075108,9.23112531926089e-44,7.65029510833746e-40
"MMP11",3691.59178959061,5.176798340708,0.405912133747281,1.84266368277515e-38,1.01807168473327e-34
"WNT2",200.409369388951,5.73614930443317,0.463339614705152,1.83577894929802e-36,7.60700902115367e-33
"ATG9B",165.549271436651,4.3108135399082,0.349275000087781,2.89724272640252e-36,9.60435963802436e-33
"CEMIP",2198.3047669807,5.34500433862866,0.448791444102751,6.10461097871877e-34,1.68639878287106e-30
"SPTBN2",784.826206367567,3.16247552653326,0.266880810294387,1.50309361388015e-33,3.55911095000908e-30
"GYLTL1B",1236.55480891209,5.80592108305768,0.493538362717397,3.39446109132158e-33,7.0328990735819e-30
"C2CD4A",543.941121176391,5.45321402025239,0.472708944639661,5.12220857304097e-32,9.43340078868379e-29
"TRIB3",2446.83692215385,4.81490073062961,0.427637640954179,1.25839134342897e-30,2.08578365173352e-27
"TGFBI",27398.6321815539,3.90682709479978,0.359402102654999,1.20631817546553e-28,1.8177021598492e-25
"FOXQ1",1984.19606863464,7.47249991604042,0.696700779929744,4.17223672298643e-28,5.76290197362501e-25
"CLDN1",2217.19829559663,5.49267721181819,0.535901230115961,6.95167424483985e-26,8.86338466217081e-23
"TG",174.693048794006,5.32877873140209,0.532286194098533,6.72190740377945e-25,7.95825822983174e-22
"COMP",581.75986725582,7.56878052669756,0.769436023907301,2.99734068068189e-24,3.31206145215348e-21
"RNF43",6090.75852971187,2.33622229789217,0.237250086259217,8.12426166878376e-24,8.41622732250568e-21
"VWA2",435.161301581459,4.13282712431863,0.424870387476629,1.35175388760003e-23,1.31796004041003e-20
"GRIN2D",908.347259942094,5.09305544846042,0.526610426046412,2.25788831003314e-23,2.07913881882219e-20
"PLAU",1587.33684350025,2.42850220502163,0.25127882533381,4.32477090603102e-23,3.77279356670864e-20
"MAFG-AS1",122.134309018442,3.37867338952217,0.36087468946797,5.16151892972665e-22,4.27760881301096e-19
"INHBA",511.398857030757,5.32453227222918,0.574425734972578,9.78977767041051e-22,7.72693166128829e-19
"KRT80",682.28243374002,5.93287029345091,0.642049450758531,1.3683573106653e-21,1.03093283746715e-18
"ESM1",69.6477878698523,4.56257013862715,0.497470047434452,2.69999766869027e-21,1.9457591895018e-18
"COL11A1",731.063468039957,6.51304447605255,0.712653745153313,3.31240253563209e-21,2.28762800117091e-18
"KLK10",737.470876087277,4.30877006117523,0.470112406885812,4.07633909509322e-21,2.7026128200468e-18
"TDGF1",609.036748047144,3.64603650809871,0.399607020483867,4.84380523925509e-21,3.08792584002512e-18
"HILPDA",551.044851604739,2.46549700628234,0.272264674491515,1.28696882419114e-20,7.90055861517339e-18
"SPIB",774.768375328348,-5.39436603623553,0.596910379372185,1.97316665359171e-20,1.16804418868866e-17
"AJUBA",410.34419658938,3.07194099185137,0.344238891194016,3.62257221875069e-20,2.07048739744112e-17
"POU5F1B",141.553377703561,5.01612146298349,0.570372688330977,6.76798997853906e-20,3.73931446314283e-17
"ETV4",2048.24760488404,5.00273965326622,0.571442862892413,1.18279683950581e-19,6.32414761768027e-17
"MMP3",520.358252791212,5.47151200866201,0.63791615928071,4.45193554901613e-19,2.30596349140445e-16
"EGFL6",56.3030971552682,3.47087685332616,0.402511487829648,5.08559685998946e-19,2.55435660467653e-16
"STRA6",104.424191425021,4.93850053838032,0.579463803638233,7.92713932501924e-19,3.86448042094688e-16
"FAM107A",688.764131728817,-3.55143438567032,0.41266561914937,8.42312855749561e-19,3.98895302401399e-16
"ITM2A",487.020691386711,-2.20328315575382,0.258860277791212,1.20155055699361e-18,5.53213902282476e-16
"FGL2",2433.96445601586,-2.73971222432775,0.320982949512342,1.31957460068591e-18,5.91133756928893e-16
"DDN",77.1743806776848,4.7579549292907,0.563432702502892,1.95368825058653e-18,8.52167967196625e-16
"COL10A1",498.200806108676,7.54173322634025,0.89991315189845,2.06656243335831e-18,8.78289034177282e-16
"PLEKHG4",1270.36367104976,2.69730936443705,0.318479308200649,2.21292415861987e-18,9.1698044822811e-16
"MDFI",252.808159335768,3.80361226558705,0.452959325376928,2.37664745092251e-18,9.60803207293675e-16
